Year,Month,Ninjured,Nkilled,NinjuredPer1000000,NkilledPer1000000,NinjuredSI,NkilledSI,NinjuredPer1000000SI,NkilledPer1000000SI,NinjuredMN,NkilledMN,NinjuredPer1000000MN,NkilledPer1000000MN,NinjuredBK,NkilledBK,NinjuredPer1000000BK,NkilledPer1000000BK,NinjuredQN,NkilledQN,NinjuredPer1000000QN,NkilledPer1000000QN,NinjuredBX,NkilledBX,NinjuredPer1000000BX,NkilledPer1000000BX
2012.0,7.0,764.0,5.0,89.97678622469536,0.5888533129888439,20.0,0.0,42.25837191170536,0.0,215.0,1.0,131.3965682883244,0.6111468292480204,265.0,3.0,101.07586678277042,1.1442550956540047,154.0,0.0,66.33413451184107,0.0,110.0,1.0,76.48667497821869,0.6953334088928971
2012.0,8.0,773.0,12.0,91.03672218807527,1.4132479511732254,29.0,1.0,61.27463927197277,2.112918595585268,225.0,3.0,137.5080365808046,1.8334404877440615,259.0,3.0,98.78735659146241,1.1442550956540047,158.0,2.0,68.05709904461617,0.8614822663875464,102.0,3.0,70.9240077070755,2.0860002266786912
2012.0,9.0,822.0,12.0,96.80748465536594,1.4132479511732254,23.0,0.0,48.597127698461165,0.0,223.0,6.0,136.28574292230857,3.666880975488123,277.0,3.0,105.65288716538643,1.1442550956540047,178.0,2.0,76.67192170849162,0.8614822663875464,121.0,1.0,84.13534247604055,0.6953334088928971
2012.0,10.0,885.0,11.0,104.22703639902538,1.2954772885754566,28.0,1.0,59.1617206763875,2.112918595585268,234.0,2.0,143.00835804403678,1.2222936584960409,298.0,2.0,113.66267283496447,0.7628367304360032,211.0,5.0,90.88637910388614,2.153705665968866,114.0,1.0,79.26800861379027,0.6953334088928971
2012.0,11.0,929.0,7.0,109.4089455533272,0.8243946381843815,47.0,1.0,99.30717399250759,2.112918595585268,212.0,2.0,129.56312780058033,1.2222936584960409,329.0,3.0,125.48664215672252,1.1442550956540047,211.0,1.0,90.88637910388614,0.4307411331937732,130.0,0.0,90.39334315607663,0.0
2012.0,12.0,1181.0,15.0,139.08715252796495,1.7665599389665319,54.0,0.0,114.09760416160447,0.0,281.0,3.0,171.73225901869375,1.8334404877440615,410.0,5.0,156.38152973938065,1.9070918260900078,260.0,5.0,111.99269463038104,2.153705665968866,176.0,2.0,122.37867996514989,1.3906668177857942
2013.0,1.0,996.0,20.0,117.29957994737771,2.3554132519553757,40.0,0.0,84.51674382341072,0.0,243.0,5.0,148.508679507269,3.0557341462401024,330.0,5.0,125.86806052194052,1.9070918260900078,247.0,7.0,106.39305989886198,3.0151879323564126,136.0,3.0,94.56534360943401,2.0860002266786912
2013.0,2.0,881.0,10.0,103.7559537486343,1.1777066259776878,26.0,1.0,54.93588348521696,2.112918595585268,252.0,3.0,154.00900097050118,1.8334404877440615,286.0,1.0,109.08565245234846,0.3814183652180016,180.0,4.0,77.53340397487918,1.7229645327750929,137.0,1.0,95.2606770183269,0.6953334088928971
2013.0,3.0,898.0,7.0,105.75805501279638,0.8243946381843815,22.0,0.0,46.484209102875894,0.0,225.0,1.0,137.5080365808046,0.6111468292480204,313.0,2.0,119.3839483132345,0.7628367304360032,189.0,2.0,81.41007417362313,0.8614822663875464,149.0,2.0,103.60467792504167,1.3906668177857942
2013.0,4.0,814.0,8.0,95.86531935458379,0.9421653007821503,29.0,0.0,61.27463927197277,0.0,219.0,2.0,133.8411556053165,1.2222936584960409,272.0,3.0,103.74579533929642,1.1442550956540047,161.0,3.0,69.34932244419748,1.2922233995813197,133.0,0.0,92.47934338275532,0.0
2013.0,5.0,889.0,6.0,104.69811904941645,0.7066239755866127,34.0,0.0,71.83923224989911,0.0,229.0,0.0,139.95262389779668,0.0,306.0,0.0,116.71401975670848,0.0,171.0,3.0,73.65673377613521,1.2922233995813197,149.0,3.0,103.60467792504167,2.0860002266786912
2013.0,6.0,866.0,8.0,101.98939380966777,0.9421653007821503,27.0,0.0,57.04880208080223,0.0,243.0,3.0,148.508679507269,1.8334404877440615,300.0,2.0,114.42550956540047,0.7628367304360032,165.0,0.0,71.07228697697258,0.0,131.0,3.0,91.08867656496952,2.0860002266786912
2013.0,7.0,770.0,12.0,90.68341020028197,1.4132479511732254,28.0,0.0,59.1617206763875,0.0,200.0,4.0,122.2293658496041,2.4445873169920818,277.0,4.0,105.65288716538643,1.5256734608720064,152.0,3.0,65.47265224545353,1.2922233995813197,113.0,1.0,78.57267520489738,0.6953334088928971
2013.0,8.0,775.0,11.0,91.27226351327081,1.2954772885754566,23.0,1.0,48.597127698461165,2.112918595585268,220.0,2.0,134.4523024345645,1.2222936584960409,255.0,2.0,97.2616831305904,0.7628367304360032,157.0,4.0,67.62635791142239,1.7229645327750929,120.0,2.0,83.44000906714766,1.3906668177857942
2013.0,9.0,894.0,10.0,105.2869723624053,1.1777066259776878,12.0,0.0,25.355023147023214,0.0,234.0,0.0,143.00835804403678,0.0,294.0,2.0,112.13699937409247,0.7628367304360032,213.0,6.0,91.7478613702737,2.5844467991626394,141.0,2.0,98.04201065389849,1.3906668177857942
2013.0,10.0,948.0,11.0,111.6465881426848,1.2954772885754566,30.0,0.0,63.38755786755804,0.0,226.0,1.0,138.11918341005264,0.6111468292480204,331.0,3.0,126.24947888715852,1.1442550956540047,211.0,4.0,90.88637910388614,1.7229645327750929,150.0,3.0,104.30001133393456,2.0860002266786912
2013.0,11.0,990.0,19.0,116.5929559717911,2.237642589357607,25.0,0.0,52.8229648896317,0.0,250.0,6.0,152.78670731200512,3.666880975488123,332.0,3.0,126.63089725237653,1.1442550956540047,231.0,5.0,99.50120176776161,2.153705665968866,152.0,5.0,105.69067815172036,3.4766670444644854
2013.0,12.0,1042.0,10.0,122.71703042687507,1.1777066259776878,20.0,1.0,42.25837191170536,2.112918595585268,270.0,2.0,165.00964389696554,1.2222936584960409,343.0,3.0,130.82649926977453,1.1442550956540047,248.0,4.0,106.82380103205575,1.7229645327750929,161.0,0.0,111.94867883175644,0.0
2014.0,1.0,977.0,11.0,115.0619373580201,1.2954772885754566,31.0,1.0,65.5004764631433,2.112918595585268,266.0,3.0,162.56505657997346,1.8334404877440615,318.0,3.0,121.2910401393245,1.1442550956540047,229.0,1.0,98.63971950137406,0.4307411331937732,133.0,3.0,92.47934338275532,2.0860002266786912
2014.0,2.0,709.0,6.0,83.49939978181807,0.7066239755866127,22.0,0.0,46.484209102875894,0.0,238.0,0.0,145.45294536102887,0.0,199.0,5.0,75.90225467838232,1.9070918260900078,154.0,1.0,66.33413451184107,0.4307411331937732,96.0,0.0,66.75200725371812,0.0
2014.0,3.0,834.0,8.0,98.22073260653917,0.9421653007821503,23.0,0.0,48.597127698461165,0.0,215.0,1.0,131.3965682883244,0.6111468292480204,282.0,3.0,107.55997899147644,1.1442550956540047,186.0,3.0,80.11785077404181,1.2922233995813197,128.0,1.0,89.00267633829083,0.6953334088928971
